threshold,model_fp_rate,backup_target_fpr,time_taken_ms,insert_count,negative_queries,false_negative,false_positive,observed_fpr,model_memory_mb,backup_memory_mb,total_memory_mb,backup_key_count
0.05,0.016087767878641947,0.03446672478930544,6511.677800008329,344800,66448,0,3328,0.05008427642667951,0.5,0.2407073974609375,0.7407073974609375,288058
0.075,0.015816879364314952,0.03473248008318425,6606.767599994782,344800,66448,0,3301,0.04967794365518902,0.5,0.2407684326171875,0.7407684326171875,288792
0.1,0.01489886828798459,0.035632008310672494,6587.092099987785,344800,66448,0,3373,0.05076149771249699,0.5,0.23935699462890625,0.7393569946289062,289299
0.125,0.014778473392728149,0.03574985488650598,6612.488900005701,344800,66448,0,3280,0.04936190705514086,0.5,0.23932647705078125,0.7393264770507812,289549
0.15,0.014688177221285818,0.03583822091886608,6544.360400002915,344800,66448,0,3390,0.051017336864916926,0.5,0.239410400390625,0.739410400390625,289866
0.175,0.01455273296412232,0.03597073960385455,6378.644199998234,344800,66448,0,3306,0.049753190464724296,0.5,0.239288330078125,0.739288330078125,290044
0.2,0.01443233806886588,0.03608850341278688,4132.767799994326,344800,66448,0,3405,0.05124307729352275,0.5,0.23918914794921875,0.7391891479492188,290207
0.22499999999999998,0.014326992535516494,0.036191523146451694,1202.7578999986872,344800,66448,0,3341,0.05027991813147122,0.5,0.239166259765625,0.739166259765625,290423
0.25,0.014116301468817722,0.036397496565409866,1086.0039999970468,344800,66448,0,3328,0.05008427642667951,0.5,0.23886871337890625,0.7388687133789062,290561
0.27499999999999997,0.014071153383096557,0.036441622273441915,1249.3163000035565,344800,66448,0,3333,0.05015952323621478,0.5,0.23895263671875,0.73895263671875,290772
0.3,0.013800264868769565,0.03670629167874747,1143.6033999925712,344800,66448,0,3359,0.05055080664579822,0.5,0.2386474609375,0.7386474609375,291034
0.32499999999999996,0.013770166144955454,0.03673569041551585,1065.0258999958169,344800,66448,0,3465,0.052146039007946066,0.5,0.23868560791015625,0.7386856079101562,291154
0.35,0.013770166144955454,0.03673569041551585,1063.4576000011293,344800,66448,0,3296,0.04960269684565374,0.5,0.23877716064453125,0.7387771606445312,291266
0.37499999999999994,0.013725018059234288,0.03677978515625,1066.2065999931656,344800,66448,0,3302,0.04969299301709607,0.5,0.23879241943359375,0.7387924194335938,291386
0.39999999999999997,0.013574524440163736,0.036926738473743635,1065.6796999974176,344800,66448,0,3333,0.05015952323621478,0.5,0.238616943359375,0.738616943359375,291526
0.42499999999999993,0.013514326992535516,0.03698550724637681,1082.2048999980325,344800,66448,0,3280,0.04936190705514086,0.5,0.23858642578125,0.73858642578125,291629
0.44999999999999996,0.013454129544907295,0.037044268847057395,1253.4084000071744,344800,66448,0,3303,0.04970804237900313,0.5,0.2385711669921875,0.7385711669921875,291755
0.475,0.013393932097279076,0.03710302327709814,1087.471499995445,344800,66448,0,3403,0.05121297856970865,0.5,0.23854827880859375,0.7385482788085938,291861
0.49999999999999994,0.01328858656392969,0.03720582627926486,1014.1869999933988,344800,66448,0,3324,0.05002407897905129,0.5,0.23844146728515625,0.7384414672851562,291980
0.525,0.013153142306766194,0.037337969317107395,1010.0034999923082,344800,66448,0,3352,0.05044546111244883,0.5,0.23830413818359375,0.7383041381835938,292126
0.5499999999999999,0.013123043582952083,0.03736732951079664,1025.5966000113403,344800,66448,0,3325,0.05003912834095834,0.5,0.2383270263671875,0.7383270263671875,292224
0.575,0.013092944859137973,0.03739668791362957,1008.1834999873536,344800,66448,0,3317,0.0499187334457019,0.5,0.23839569091796875,0.7383956909179688,292376
0.6,0.013062846135323863,0.03742604452577005,996.1486999964109,344800,66448,0,3386,0.05095713941728871,0.5,0.2384796142578125,0.7384796142578125,292551
0.625,0.012746809535275704,0.03773418088138901,1007.9025000013644,344800,66448,0,3302,0.04969299301709607,0.5,0.23799896240234375,0.7379989624023438,292686
0.65,0.012716710811461593,0.037763516912336335,1009.3253999948502,344800,66448,0,3330,0.05011437515049362,0.5,0.23802947998046875,0.7380294799804688,292796
0.675,0.012716710811461593,0.037763516912336335,996.3056999986293,344800,66448,0,3356,0.050505658560077056,0.5,0.23810577392578125,0.7381057739257812,292886
0.7,0.012701661449554539,0.0377781842570575,981.7507999978261,344800,66448,0,3345,0.05034011557909945,0.5,0.23821258544921875,0.7382125854492188,293057
