threshold,model_fp_rate,backup_target_fpr,time_taken_ms,time_per_query_ns,throughput_s,insert_count,negative_queries,false_negative,false_positive,observed_fpr,model_memory_mb,backup_memory_mb,total_memory_mb,backup_key_count
0.05,0.37697850402484245,1e-09,247.4064000416547,601.6429242923576,1662115,344880,66338,0,25008,0.37697850402484245,0.06391239166259766,0.00104522705078125,0.0649576187133789,203
0.075,0.33933793602460127,1e-09,248.06140002328902,603.2357533553712,1657726,344880,66338,0,22511,0.33933793602460127,0.06391239166259766,0.00136566162109375,0.0652780532836914,265
0.1,0.3122493894901866,1e-09,249.64480003109202,607.0862657546411,1647212,344880,66338,0,20714,0.3122493894901866,0.06391239166259766,0.001708984375,0.06562137603759766,332
0.125,0.2910096777111158,1e-09,251.04650005232543,610.4949200967015,1638015,344880,66338,0,19305,0.2910096777111158,0.06391239166259766,0.00217437744140625,0.0660867691040039,422
0.15,0.27258886309505864,1e-09,254.32250002631918,618.4614973720002,1616915,344880,66338,0,18083,0.27258886309505864,0.06391239166259766,0.0026092529296875,0.06652164459228516,506
0.175,0.256203081190268,1e-09,252.69490003120154,614.5034994363125,1627330,344880,66338,0,16996,0.256203081190268,0.06391239166259766,0.0031280517578125,0.06704044342041016,607
0.2,0.24275679097952907,1e-09,251.7327000387013,612.1636213363746,1633550,344880,66338,0,16104,0.24275679097952907,0.06391239166259766,0.003570556640625,0.06748294830322266,694
0.22499999999999998,0.22986825047484097,1e-09,254.29850001819432,618.4031341482968,1617068,344880,66338,0,15250,0.22988332479122073,0.06391239166259766,0.00408935546875,0.06800174713134766,794
0.25,0.21883385088486237,1e-09,249.77130006300285,607.3938885530372,1646378,344880,66338,0,14517,0.21883385088486237,0.06391239166259766,0.00473785400390625,0.0686502456665039,920
0.27499999999999997,0.2087039102776689,1e-09,250.4903000080958,609.1423527377104,1641652,344880,66338,0,13845,0.2087039102776689,0.06391239166259766,0.00539398193359375,0.0693063735961914,1049
0.3,0.19904127347824777,1e-09,251.7117999959737,612.1127966090339,1633685,344880,66338,0,13204,0.19904127347824777,0.06391239166259766,0.00603485107421875,0.0699472427368164,1173
0.32499999999999996,0.18939371099520635,1e-09,252.71650002105162,614.5560262951807,1627190,344880,66338,0,12564,0.18939371099520635,0.06391239166259766,0.00673675537109375,0.0706491470336914,1310
0.35,0.18140432331393772,1e-09,249.47690003318712,606.677966512135,1648320,344880,66338,0,12034,0.18140432331393772,0.06391239166259766,0.00756072998046875,0.0714731216430664,1470
0.37499999999999994,0.17311344930507402,1e-09,250.58590003754944,609.3748329050514,1641026,344880,66338,0,11484,0.17311344930507402,0.06391239166259766,0.00843048095703125,0.0723428726196289,1639
0.39999999999999997,0.16513913594018512,1e-09,252.8730000485666,614.9366030878186,1626183,344880,66338,0,10955,0.16513913594018512,0.06391239166259766,0.0093994140625,0.07331180572509766,1828
0.42499999999999993,0.15733064005547348,1e-09,251.72390008810908,612.1422216150778,1633607,344880,66338,0,10437,0.15733064005547348,0.06391239166259766,0.01055145263671875,0.0744638442993164,2052
0.44999999999999996,0.15066779221562301,1e-09,252.17240006895736,613.2328839422335,1630701,344880,66338,0,9995,0.15066779221562301,0.06391239166259766,0.01171875,0.07563114166259766,2279
0.475,0.14299496517832916,1e-09,256.43410003976896,623.5964866318327,1603601,344880,66338,0,9486,0.14299496517832916,0.06391239166259766,0.01299285888671875,0.0769052505493164,2526
0.49999999999999994,0.1359854080617444,1e-09,262.9209000733681,639.3710880199021,1564036,344880,66338,0,9021,0.1359854080617444,0.06391239166259766,0.01418304443359375,0.0780954360961914,2757
0.525,0.12926226295637494,1e-09,250.3671000013128,608.8427549409627,1642460,344880,66338,0,8575,0.12926226295637494,0.06391239166259766,0.0159149169921875,0.07982730865478516,3094
0.5499999999999999,0.1228406041786005,1e-09,254.0504999924451,617.8000476449113,1618646,344880,66338,0,8149,0.1228406041786005,0.06391239166259766,0.01766204833984375,0.0815744400024414,3434
0.575,0.11641894540082608,1e-09,264.80760000413284,643.9591652216898,1552893,344880,66338,0,7723,0.11641894540082608,0.06391239166259766,0.0196685791015625,0.08358097076416016,3824
0.6,0.11044951611444422,1e-09,258.22950003203005,627.9625406281584,1592451,344880,66338,0,7327,0.11044951611444422,0.06391239166259766,0.02184295654296875,0.0857553482055664,4247
0.625,0.10463082999185987,1e-09,260.7545000500977,634.1028360871793,1577031,344880,66338,0,6941,0.10463082999185987,0.06391239166259766,0.0244293212890625,0.08834171295166016,4751
0.65,0.09869154933823751,0.001451723503537328,259.4796000048518,631.00253394757,1584779,344880,66338,0,6643,0.10013868371069372,0.06391239166259766,0.008636474609375,0.07254886627197266,5324
0.675,0.0926467484699569,0.008104066985645933,259.2768000322394,630.5093649408328,1586019,344880,66338,0,6623,0.09983719738309868,0.06391239166259766,0.0071868896484375,0.07109928131103516,6011
0.7,0.08669239349995478,0.014570782511099747,257.6056999969296,626.4455836002548,1596307,344880,66338,0,6639,0.10007838644517471,0.06391239166259766,0.0071563720703125,0.07106876373291016,6818
0.725,0.08070788989719316,0.020985832349468724,267.62850006343797,650.819030449635,1536525,344880,66338,0,6591,0.09935481925894661,0.06391239166259766,0.00745391845703125,0.0713663101196289,7768
0.75,0.07500979830564684,0.027016720445878557,257.91129999561235,627.1887417272891,1594416,344880,66338,0,6661,0.10041002140552927,0.06391239166259766,0.00803375244140625,0.0719461441040039,8962
0.775,0.06899514607012572,0.0333025695827464,256.5184000413865,623.8014873896242,1603074,344880,66338,0,6710,0.10114866290813712,0.06391239166259766,0.00867462158203125,0.0725870132446289,10269
0.7999999999999999,0.06285989930356659,0.03963132158023421,258.7233000667766,629.1633636338306,1589412,344880,66338,0,6628,0.09991256896499744,0.06391239166259766,0.0095977783203125,0.07351016998291016,11982
0.825,0.056619132322349185,0.045984468377488735,261.8577000685036,636.7855980732935,1570387,344880,66338,0,6538,0.09855588049081974,0.06391239166259766,0.0108489990234375,0.07476139068603516,14196
0.85,0.05001658174801773,0.05261504284354174,256.4756000065245,623.6974062578108,1603341,344880,66338,0,6617,0.09974675148482016,0.06391239166259766,0.0124359130859375,0.07634830474853516,17019
0.875,0.04373059181766107,0.05884263127197062,261.2026000279002,635.1925256868624,1574325,344880,66338,0,6674,0.10060598751846604,0.06391239166259766,0.01448822021484375,0.0784006118774414,20611
0.9,0.03693207513039284,0.06548647633358377,262.99070002278313,639.540827548364,1563621,344880,66338,0,6665,0.10047031867104826,0.06391239166259766,0.01723480224609375,0.0811471939086914,25476
0.9249999999999999,0.02989236938104857,0.07226788905290965,254.79870004346594,619.6195206519801,1613893,344880,66338,0,6652,0.10027435255811148,0.06391239166259766,0.0211029052734375,0.08501529693603516,32364
0.95,0.021842684434260906,0.07990260290650188,260.2314000832848,632.8307615018915,1580201,344880,66338,0,6763,0.10194760167626399,0.06391239166259766,0.02698516845703125,0.0908975601196289,43028
